id,name,quality,level,category,realmRequirement,description,effects,dropChance,dropSource,sourceLevel,sourceScene
thunder_essence,雷神诀,excellent,20,element,3,引动天雷之力，雷霆万钧,attackBonus:110;critRate:12;critDamage:50,0.06,通用掉落,41-50,太虚之境
ice_essence,冰魄诀,excellent,21,element,4,凝练冰魄真气，冰封万物,defenseBonus:100;damageReduction:15;dodgeRate:5,0.06,通用掉落,41-50,太虚之境
wind_essence,风之精髓,excellent,21,element,4,御风而行，快如闪电,dodgeRate:15;attackBonus:80;critRate:6,0.06,通用掉落,41-50,太虚之境
earth_essence,地之精髓,excellent,22,element,4,大地之力，厚重如山,hpBonus:800;defenseBonus:80;damageReduction:12,0.06,通用掉落,41-50,太虚之境
metal_essence,金之精髓,excellent,22,element,5,金气淬体，锋芒毕露,attackBonus:150;critDamage:80;critRate:5,0.06,通用掉落,41-50,太虚之境
wood_essence,木之精髓,excellent,23,element,5,木灵生气，生生不息,regenPerSec:15;lifesteal:10;hpBonus:500,0.06,通用掉落,41-50,太虚之境
ultimate_body,不死之身,excellent,24,ultimate,5,滴血重生，永生不灭,hpBonus:1000;lifesteal:20;regenPerSec:20;damageReduction:10,0.06,通用掉落,41-50,太虚之境
attack_superior,弑神诀,superior,25,combat,5,弑杀神明之力，威能惊天动地,attackBonus:250;critRate:15;critDamage:180;lifesteal:10,0.07,通用掉落,51-60,天枢星域
defense_superior,天道护体,superior,25,body,5,天道法则护体，金身不坏,defenseBonus:180;damageReduction:28;hpBonus:1200;dodgeRate:8,0.07,通用掉落,51-60,天枢星域
spirit_superior,太初混沌,superior,26,spirit,6,太初混沌之气，蕴含无穷伟力,spiritPerSec:12;attackBonus:100;defenseBonus:100;hpBonus:600,0.07,通用掉落,51-60,天枢星域
ultimate_attack,天罚神雷,superior,27,combat,6,神雷降世，天罚无敌,critRate:25;critDamage:250;attackBonus:180,0.07,通用掉落,51-60,天枢星域
ultimate_dodge,大虚空术,superior,28,combat,6,穿梭虚空，来去自如,dodgeRate:22;damageReduction:18;defenseBonus:80,0.07,通用掉落,51-60,天枢星域
ultimate_spirit,万灵归元,superior,29,spirit,6,万灵归一，返璞归真,spiritPerSec:20;hpBonus:800;attackBonus:80;regenPerSec:15,0.07,通用掉落,51-60,天枢星域
immortal_attack,天帝诀,immortal,30,ultimate,6,天帝所创功法，威压万界,attackBonus:400;critRate:20;critDamage:300;lifesteal:18,0.08,通用掉落,61-70,混沌领域
immortal_defense,天罗地网,immortal,30,body,6,天罗地网，无处可逃，无物可破,defenseBonus:300;damageReduction:35;hpBonus:2000;dodgeRate:10,0.08,通用掉落,61-70,混沌领域
immortal_body,不灭仙体,immortal,31,ultimate,7,成就不灭仙体，与天地同寿,hpBonus:3000;lifesteal:30;regenPerSec:40;damageReduction:20,0.08,通用掉落,61-70,混沌领域
immortal_spirit,混沌归元,immortal,32,spirit,7,混沌初开，万气归元,spiritPerSec:30;attackBonus:200;defenseBonus:150;hpBonus:1500,0.08,通用掉落,61-70,混沌领域
immortal_crit,灭世神罚,immortal,33,combat,7,神罚降临，灭世一击,critRate:35;critDamage:400;attackBonus:300,0.08,通用掉落,61-70,混沌领域
divine_attack,大道独尊,divine,35,ultimate,7,大道独尊，唯我独仙,attackBonus:600;critRate:25;critDamage:500;lifesteal:25,0.1,通用掉落,71-80,天劫领域
divine_defense,万劫不灭,divine,35,ultimate,7,万劫加身而不灭，永生不灭,defenseBonus:450;damageReduction:45;hpBonus:4000;reflectDamage:30,0.1,通用掉落,71-80,天劫领域
divine_body,神魂不灭,divine,36,ultimate,8,神魂永存，肉身不朽,hpBonus:5000;lifesteal:40;regenPerSec:80;damageReduction:25,0.1,通用掉落,71-80,天劫领域
divine_spirit,永恒真仙,divine,38,ultimate,8,永恒真仙，万古长存,spiritPerSec:50;attackBonus:400;defenseBonus:300;hpBonus:3000;critRate:20,0.1,通用掉落,71-80,天劫领域
ultimate_divine,大道归一,divine,40,ultimate,8,万法归一，大道至简，超脱一切,attackBonus:800;defenseBonus:500;hpBonus:6000;critRate:30;critDamage:600;damageReduction:35;lifesteal:30;dodgeRate:20;spiritPerSec:30;regenPerSec:50,0.12,仙界之主,100,仙界
